SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-10-2019,Condo/Co-op,1251 Trumpeter Pl,SAN JOSE,CA,95131,825000,2,2.0,SAN JOSE,1157,,1993,361,713,265,Sold,,,http://www.redfin.com/CA/San-Jose/1251-Trumpeter-Pl-95131/home/1393801,MLSListings,ML81738862,N,Y,37.386379,-121.893598
PAST SALE,October-28-2019,Condo/Co-op,1350 Tea Rose Cir,SAN JOSE,CA,95131,1025000,3,2.5,SAN JOSE,1790,915,1993,160,573,299,Sold,,,http://www.redfin.com/CA/San-Jose/1350-Tea-Rose-Cir-95131/home/1629734,MLSListings,ML81770127,N,Y,37.3877138,-121.8940869
PAST SALE,July-1-2019,Condo/Co-op,1072 Foxglove Pl #1072,SAN JOSE,CA,95131,1190000,3,3.5,SAN JOSE,1718,621,2015,279,693,275,Sold,,,http://www.redfin.com/CA/San-Jose/1072-Foxglove-Pl-95131/unit-1072/home/166861341,MLSListings,ML81753845,N,Y,37.379551,-121.896238
PAST SALE,April-29-2019,Townhouse,1722 Winston St,SAN JOSE,CA,95131,1051000,4,3.0,SAN JOSE,2009,3200,1989,342,523,265,Sold,,,http://www.redfin.com/CA/San-Jose/1722-Winston-St-95131/home/1341695,MLSListings,ML81744772,N,Y,37.37425,-121.8747839
PAST SALE,July-5-2019,Townhouse,1702 Fan St,SAN JOSE,CA,95131,1040000,3,2.5,SAN JOSE,1666,2547,1989,275,624,265,Sold,,,http://www.redfin.com/CA/San-Jose/1702-Fan-St-95131/home/685641,MLSListings,ML81752152,N,Y,37.3746099,-121.876286
PAST SALE,August-22-2019,Condo/Co-op,1089 Dewberry Pl #301,SAN JOSE,CA,95131,1073000,2,2.5,SAN JOSE,1661,,2016,227,646,657,Sold,,,http://www.redfin.com/CA/San-Jose/1089-Dewberry-Pl-95131/unit-301/home/143041432,MLSListings,ML81756605,N,Y,37.3801465,-121.8962306
PAST SALE,,Single Family Residential,1597 Shore Dr,San Jose,CA,95131,980000,3,3.0,,2098,3748,2014,,467,,,,,http://www.redfin.com/CA/San-Jose/1597-Shore-Dr-95131/home/95955979,,,N,Y,37.3731961,-121.8802746
PAST SALE,June-11-2019,Townhouse,1098 Foxglove Pl,SAN JOSE,CA,95131,1200000,4,3.5,SAN JOSE,1872,710,2015,299,641,275,Sold,,,http://www.redfin.com/CA/San-Jose/1098-Foxglove-Pl-95131/home/112869622,MLSListings,ML81745938,N,Y,37.379575,-121.8958964
PAST SALE,August-13-2019,Condo/Co-op,1038 Bellante Ln #6,SAN JOSE,CA,95131,855000,2,2.0,SAN JOSE,1171,1171,2019,236,730,271,Sold,,,http://www.redfin.com/CA/San-Jose/1038-Bellante-Ln-95133/unit-6/home/147906405,MLSListings,ML81742480,N,Y,37.371804,-121.879942
PAST SALE,May-1-2019,Other,1508 Murphy Ave,SAN JOSE,CA,95131,3000000,,,SAN JOSE,,19474,,340,,,Sold,,,http://www.redfin.com/CA/San-Jose/1508-Murphy-Ave-95131/home/1788166,MLSListings,ML81729283,N,Y,37.3847034,-121.8898356
