SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1190 Piedmont Rd,San Jose,CA,95132,1125000,4,3.0,,1853,8474,1959,,607,,,,,http://www.redfin.com/CA/San-Jose/1190-Piedmont-Rd-95132/home/851797,,,N,Y,37.3971039,-121.8452971
PAST SALE,,Single Family Residential,3126 Drywood Ln,San Jose,CA,95132,800000,3,2.0,,1165,5822,1964,,687,,,,,http://www.redfin.com/CA/San-Jose/3126-Drywood-Ln-95132/home/966753,,,N,Y,37.4154831,-121.873183
PAST SALE,January-24-2020,Single Family Residential,3313 Half Pence Ct,SAN JOSE,CA,95132,1125000,4,2.0,SAN JOSE,1598,8166,1971,72,704,,Sold,,,http://www.redfin.com/CA/San-Jose/3313-Half-Pence-Ct-95132/home/1718880,MLSListings,ML81774774,N,Y,37.4120267,-121.8556606
PAST SALE,,Single Family Residential,2075 Lockwood Dr,San Jose,CA,95132,1168000,4,3.0,,1713,6000,1969,,682,,,,,http://www.redfin.com/CA/San-Jose/2075-Lockwood-Dr-95132/home/1770624,,,N,Y,37.4154971,-121.8616203
PAST SALE,March-20-2020,Townhouse,2604 Sierra Village Ct,SAN JOSE,CA,95132,950000,3,2.5,SAN JOSE,1556,1877,1981,16,611,348,Sold,,,http://www.redfin.com/CA/San-Jose/2604-Sierra-Village-Ct-95132/home/1556972,MLSListings,ML81780432,N,Y,37.3926251,-121.8578726
PAST SALE,,Single Family Residential,1057 Terra Noble Way,San Jose,CA,95132,900000,4,2.0,,2055,7132,1970,,438,,,,,http://www.redfin.com/CA/San-Jose/1057-Terra-Noble-Way-95132/home/942270,,,N,Y,37.3947792,-121.837446
PAST SALE,July-5-2019,Single Family Residential,2976 Lugano Way,SAN JOSE,CA,95132,1210000,3,2.0,SAN JOSE,1513,6962,1970,275,800,,Sold,,,http://www.redfin.com/CA/San-Jose/2976-Lugano-Way-95132/home/1497460,MLSListings,ML81750828,N,Y,37.3926587,-121.8528586
PAST SALE,September-6-2019,Single Family Residential,1804 Bethany Ave,SAN JOSE,CA,95132,1100000,4,2.0,SAN JOSE,1750,5899,1976,212,629,,Sold,,,http://www.redfin.com/CA/San-Jose/1804-Bethany-Ave-95132/home/1270136,MLSListings,ML81760083,N,Y,37.402076,-121.8745615
PAST SALE,June-29-2019,Single Family Residential,1502 Old Piedmont Rd,SAN JOSE,CA,95132,1125000,3,3.0,SAN JOSE,1928,6599,1961,281,584,,Sold,,,http://www.redfin.com/CA/San-Jose/1502-Old-Piedmont-Rd-95132/home/1433703,MLSListings,ML81746878,N,Y,37.4087703,-121.8468539
PAST SALE,June-4-2019,Single Family Residential,2660 Alderwood Dr,SAN JOSE,CA,95132,1100000,4,2.0,SAN JOSE,1361,6109,1964,306,808,,Sold,,,http://www.redfin.com/CA/San-Jose/2660-Alderwood-Dr-95132/home/1590287,MLSListings,ML81748800,N,Y,37.406791,-121.8828769
