SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1199 Piedmont Rd,San Jose,CA,95132,2150000,3,2.0,North Valley,1448,17474,1956,16,1485,,Active,,,http://www.redfin.com/CA/San-Jose/1199-Piedmont-Rd-95132/home/1254587,Bridge MLS,40899839,N,Y,37.3971403,-121.8460533
MLS Listing,,Townhouse,3488 Prince Phillip Ct,SAN JOSE,CA,95132,718000,3,1.5,SAN JOSE,1176,880,1973,17,611,240,Active,,,http://www.redfin.com/CA/San-Jose/3488-Prince-Philip-Ct-95132/home/1432840,MLSListings,ML81787380,N,Y,37.413837,-121.852816
MLS Listing,,Single Family Residential,2931 Camargo Ct,SAN JOSE,CA,95132,1268000,3,2.0,SAN JOSE,1350,6525,1969,17,939,,Active,,,http://www.redfin.com/CA/San-Jose/2931-Camargo-Ct-95132/home/875615,MLSListings,ML81787354,Y,Y,37.4071006,-121.8729606
MLS Listing,,Vacant Land,00 Claitor Way,SAN JOSE,CA,95132,179000,,,SAN JOSE,,8195,,22,,,Active,,,http://www.redfin.com/CA/San-Jose/Claitor-Way-95132/home/17494938,MLSListings,ML81786880,N,Y,37.399485,-121.821118
MLS Listing,,Condo/Co-op,3180 Cropley Ave,SAN JOSE,CA,95132,698000,2,1.5,SAN JOSE,1003,,1976,31,696,350,Active,,,http://www.redfin.com/CA/San-Jose/3180-Cropley-Ave-95132/home/805384,MLSListings,ML81785468,Y,Y,37.4110342,-121.8655279
MLS Listing,,Vacant Land,0 Claitor Way,SAN JOSE,CA,95132,189000,,,SAN JOSE,,9417,,34,,,Active,,,http://www.redfin.com/CA/San-Jose/Claitor-Way-95132/home/161075324,MLSListings,ML81784945,N,Y,37.399407,-121.82132
MLS Listing,,Condo/Co-op,1896 Tradan Dr. Dr #1896,SAN JOSE,CA,95132,500000,1,1.0,SAN JOSE,712,4925,1987,45,702,375,Active,,,http://www.redfin.com/CA/San-Jose/1896-Tradan-Dr-95132/unit-1896/home/170605048,MLSListings,ML81783448,N,Y,37.400509,-121.884103
MLS Listing,,Single Family Residential,1772 Via Flores,SAN JOSE,CA,95132,1299000,8,6.0,SAN JOSE,2784,7857,1965,53,467,,Active,,,http://www.redfin.com/CA/San-Jose/1772-Via-Flores-95132/home/1182727,MLSListings,ML81782401,Y,Y,37.4024832,-121.8775854
MLS Listing,,Single Family Residential,5272 Sierra Rd,SAN JOSE,CA,95132,1250000,3,2.0,SAN JOSE,2551,123801,2019,54,490,,Active,,,http://www.redfin.com/CA/San-Jose/5272-Sierra-Rd-95132/home/17494868,MLSListings,ML81782190,N,Y,37.414967,-121.778368
MLS Listing,,Single Family Residential,1055 Vista Del Mar,SAN JOSE,CA,95132,1410000,3,2.0,SAN JOSE,1936,15391,1959,66,728,,Active,,,http://www.redfin.com/CA/San-Jose/1055-Vista-Del-Mar-95132/home/987899,MLSListings,ML81780741,N,Y,37.3962987,-121.8344433
MLS Listing,,Single Family Residential,3265 Birchwood Ln,SAN JOSE,CA,95132,1200000,4,2.0,SAN JOSE,1585,5979,1964,107,757,,Active,,,http://www.redfin.com/CA/San-Jose/3265-Birchwood-Ln-95132/home/572017,MLSListings,ML81777656,Y,Y,37.4155417,-121.8659787
MLS Listing,,Single Family Residential,3248 Landess Ave,SAN JOSE,CA,95132,1199000,4,2.5,SAN JOSE,1786,8372,1969,118,671,,Active,,,http://www.redfin.com/CA/San-Jose/3248-Landess-Ave-95132/home/1600354,MLSListings,ML81777050,Y,Y,37.418095,-121.8693585
MLS Listing,,Vacant Land,3923 Suncrest Ave,SAN JOSE,CA,95132,899000,,,SAN JOSE,,14697,,139,,,Active,,,http://www.redfin.com/CA/San-Jose/3923-Suncrest-Ave-95132/home/169881924,MLSListings,ML81773560,N,Y,37.4011609,-121.8238008
MLS Listing,,Single Family Residential,2083 Amberwood Ln,SAN JOSE,CA,95132,894500,3,2.0,SAN JOSE,1165,6230,1964,152,768,,Active,,,http://www.redfin.com/CA/San-Jose/2083-Amberwood-Ln-95132/home/1540464,MLSListings,ML81774666,N,Y,37.4101292,-121.8783858
MLS Listing,,Vacant Land,737 Lariat Ln,SAN JOSE,CA,95132,399999,,,SAN JOSE,,44811,,198,,,Active,,,http://www.redfin.com/CA/San-Jose/737-Lariat-Ln-95132/home/941289,MLSListings,ML81769432,N,Y,37.397478,-121.819986
MLS Listing,,Single Family Residential,5455 Sierra Rd,SAN JOSE,CA,95132,1299000,3,2.0,SAN JOSE,1800,100058,1978,276,722,,Active,,,http://www.redfin.com/CA/San-Jose/5455-Sierra-Rd-95132/home/167175942,MLSListings,ML81759229,N,Y,37.4164785,-121.7795159
Redfin Data,,Condo/Co-op,1302 N Capitol Ave #3,San Jose,CA,95132,849500,2,2.0,San Jose,1464,,2014,4,580,210,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/1302-N-Capitol-Ave-95132/unit-3/home/95955705,Coming Soon,53546,N,N,37.3917173,-121.8653887
