SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2687 Carlo Scimeca Dr,SAN JOSE,CA,95132,1100000,4,2.0,SAN JOSE,1305,7518,1972,1,843,,Active,,,http://www.redfin.com/CA/San-Jose/2687-Carlo-Scimeca-Dr-95132/home/938453,MLSListings,ML81788596,Y,Y,37.3932251,-121.8602416
MLS Listing,,Single Family Residential,3364 Pine Creek Dr,SAN JOSE,CA,95132,1300000,5,4.0,SAN JOSE,1804,6098,1971,2,721,,Active,,,http://www.redfin.com/CA/San-Jose/3364-Pine-Creek-Dr-95132/home/1626541,MLSListings,ML81788291,Y,Y,37.4092967,-121.8516132
MLS Listing,,Single Family Residential,1462 San Marcos Dr,SAN JOSE,CA,95132,1199500,3,2.5,SAN JOSE,1938,6000,1964,5,619,,Active,,,http://www.redfin.com/CA/San-Jose/1462-San-Marcos-Dr-95132/home/976917,MLSListings,ML81788278,Y,Y,37.3978176,-121.8658453
MLS Listing,,Single Family Residential,1902 Juarez Ct,SAN JOSE,CA,95132,1130000,3,2.0,SAN JOSE,1372,6646,1970,6,824,,Active,,,http://www.redfin.com/CA/San-Jose/1902-Juarez-Ct-95132/home/1344080,MLSListings,ML81788158,N,Y,37.407946,-121.8732719
MLS Listing,,Single Family Residential,3291 Mattos,SAN JOSE,CA,95132,600000,3,1.0,SAN JOSE,1248,6061,1963,8,481,,Active,,,http://www.redfin.com/CA/San-Jose/3291-Mattos-Ave-95132/home/1677903,MLSListings,ML81788097,N,Y,37.4049775,-121.8502343
MLS Listing,,Townhouse,3496 Prince Charles Ct,SAN JOSE,CA,95132,779888,4,2.5,SAN JOSE,1474,1026,1973,9,529,240,Active,,,http://www.redfin.com/CA/San-Jose/3496-Prince-Charles-Ct-95132/home/1700763,MLSListings,ML81788053,Y,Y,37.414131,-121.852077
MLS Listing,,Vacant Land,0 Vista Del Mar,SAN JOSE,CA,95132,780000,,,SAN JOSE,,15031,,9,,,Active,,,http://www.redfin.com/CA/San-Jose/Vista-Del-Mar-95132/home/796272,MLSListings,ML81788043,N,Y,37.397031,-121.834929
MLS Listing,,Townhouse,2763 Creekside Dr,SAN JOSE,CA,95132,688000,2,1.0,SAN JOSE,888,1626,1976,11,775,350,Active,,,http://www.redfin.com/CA/San-Jose/2763-Creekside-Dr-95132/home/1455193,MLSListings,ML81787868,N,Y,37.4114318,-121.8648446
MLS Listing,,Single Family Residential,1963 Putney Ct,SAN JOSE,CA,95132,1250000,4,2.0,SAN JOSE,1480,7360,1971,15,845,,Active,,,http://www.redfin.com/CA/San-Jose/1963-Putney-Ct-95132/home/1486070,MLSListings,ML81787515,Y,Y,37.40676,-121.879164
MLS Listing,,Townhouse,2788 Countrywalk Cir,SAN JOSE,CA,95132,798000,3,2.5,SAN JOSE,1452,1694,1976,16,550,350,Active,,,http://www.redfin.com/CA/San-Jose/2788-Countrywalk-Cir-95132/home/1298304,MLSListings,ML81787502,Y,Y,37.4109738,-121.8640876
